A¤o;Mes;ID_Empresa;Tama¤o;Categor¡a;Sexo;Grupo;Divisi¢n;RO_t_1;HO_t_1;C_t_1;HT_t_1;RO;HO;C;HT
2019;8;17;1;K;2;9;3;;;;;;;;
2019;8;18;3;Q;1;1;1;9515481;757;10115954;757;9516769;757;10009623;757
2019;8;18;3;Q;1;2;1;1056484205;91427;1133010410;93279;1057230113;91427;1122592353;93273
2019;8;18;3;Q;1;3;1;447999531;117115;513482048;120752;450020352;117682;508609124;121685
2019;8;18;3;Q;1;4;1;87717807;26866;103709332;28027;87974026;26866;102028055;28035
2019;8;18;3;Q;1;5;1;;;;;;;;
2019;8;18;3;Q;1;6;1;;;;;;;;
2019;8;18;3;Q;1;7;1;;;;;;;;
2019;8;18;3;Q;1;8;1;;;;;;;0;
2019;8;18;3;Q;1;9;1;46910344;17974;61182956;20661;46841157;17974;60276025;20805
2019;8;18;3;Q;2;1;1;13494124;568;13878824;568;13494768;568;13812602;568
2019;8;18;3;Q;2;2;1;1088006725;55332;1137430390;56023;1080602357;55117;1122773440;55907
2019;8;18;3;Q;2;3;1;69709660;19866;83119285;21303;70168538;19866;82276416;21327
2019;8;18;3;Q;2;4;1;26584950;7568;32478406;8301;26286558;7568;31818686;8355
2019;8;18;3;Q;2;5;1;;;;;;;;
2019;8;18;3;Q;2;6;1;;;;;;;;
2019;8;18;3;Q;2;7;1;;;;;;;;
2019;8;18;3;Q;2;8;1;468256;189;587147;207;465392;189;595326;216
2019;8;18;3;Q;2;9;1;50368405;17217;64174428;19559;50335880;17217;62976699;19519
2019;8;19;2;G;1;1;2;;;;;;;;
2019;8;19;2;G;1;2;2;2132549;387;2445442;387;2132549;387;2445442;387
2019;8;19;2;G;1;3;2;2610575;387;2935006;387;2610575;387;2935006;387
2019;8;19;2;G;1;4;2;6699636;2516;8404645;2545;6665867;2470;8255027;2470
2019;8;19;2;G;1;5;2;;;;;;;;
2019;8;19;2;G;1;6;2;;;;;;;;
2019;8;19;2;G;1;7;2;7306066;3503;8470056;3506;5414458;2308;6193355;2316
2019;8;19;2;G;1;8;2;;;;;;;;
2019;8;19;2;G;1;9;2;;;;;;;;
2019;8;19;2;G;2;1;2;16985773;581;17600404;581;16985773;581;17600847;581
2019;8;19;2;G;2;2;2;11221752;1355;12485784;1355;11221752;1355;12376685;1355
2019;8;19;2;G;2;3;2;1909571;581;2300372;582;1899340;581;2284132;581
2019;8;19;2;G;2;4;2;5898958;1661;7029562;1664;6131317;1742;7320875;1746
2019;8;19;2;G;2;5;2;;;;;;;;
2019;8;19;2;G;2;6;2;;;;;;;;
2019;8;19;2;G;2;7;2;4481187;2172;5195726;2180;4027312;1804;4606897;1808
2019;8;19;2;G;2;8;2;1896920;581;2317960;581;2262581;710;2756301;710
2019;8;19;2;G;2;9;2;;;;;;;;
2019;8;20;3;O;1;1;1;13851003;1695;14736995;1736;13067579;1562;13689204;1565
2019;8;20;3;O;1;2;1;1442660875;130516;1567528475;137284;1453425326;131186;1585346516;139218
2019;8;20;3;O;1;3;1;450995528;119537;524989927;128534;446312842;118960;521919847;129827
2019;8;20;3;O;1;4;1;177056681;53701;203755350;56109;171940677;53187;196890063;55653
2019;8;20;3;O;1;5;1;;;;;;;;
2019;8;20;3;O;1;6;1;;;;;;;;
2019;8;20;3;O;1;7;1;;;;;;;;
2019;8;20;3;O;1;8;1;1089475;378;1943069;590;1089475;378;1649010;486
2019;8;20;3;O;1;9;1;88934804;32105;114716982;37319;88230459;31550;112001374;36418
2019;8;20;3;O;2;1;1;9277993;331;10208211;331;9277993;331;10188939;331
2019;8;20;3;O;2;2;1;1423656679;84523;1505299124;88550;1433485037;85551;1508878494;88855
2019;8;20;3;O;2;3;1;96173689;22148;111971894;24142;94273063;21762;112745454;24446
2019;8;20;3;O;2;4;1;36317610;9564;42570917;10369;35459996;9437;41325660;10174
2019;8;20;3;O;2;5;1;;;;;;;;
2019;8;20;3;O;2;6;1;;;;;;;;
2019;8;20;3;O;2;7;1;;;;;;;;
2019;8;20;3;O;2;8;1;32794140;9185;45600999;11757;32592669;9046;43921957;11164
2019;8;20;3;O;2;9;1;69912055;20876;92571233;24473;69829066;21170;91952731;24668
2019;8;21;3;O;1;1;1;;;;;;;;
2019;8;21;3;O;1;2;1;336676644;29503;361539988;29503;323403643;29446;358439428;29446
2019;8;21;3;O;1;3;1;;;;;;;;
2019;8;21;3;O;1;4;1;76294285;13578;79989121;13578;74968049;13622;80544493;13711
2019;8;21;3;O;1;5;1;;;;;;;;
2019;8;21;3;O;1;6;1;;;;;;;;
2019;8;21;3;O;1;7;1;;;;;;;;
2019;8;21;3;O;1;8;1;;;;;;;;
2019;8;21;3;O;1;9;1;;;;;;;;
2019;8;21;3;O;2;1;1;17065956;568;18241117;568;18401329;568;19124598;568
2019;8;21;3;O;2;2;1;740182314;57933;823649137;57991;731197791;58431;817228769;58470
2019;8;21;3;O;2;3;1;;;;;;;;
2019;8;21;3;O;2;4;1;62687212;12298;77388198;12298;62399212;12298;73707509;12338
2019;8;21;3;O;2;5;1;;;;;;;;
2019;8;21;3;O;2;6;1;;;;;;;;
2019;8;21;3;O;2;7;1;;;;;;;;
2019;8;21;3;O;2;8;1;678780;189;708222;189;678780;189;708222;189
2019;8;21;3;O;2;9;1;;;;;;;;
2019;8;22;1;K;1;1;3;4182194;194;4329246;194;4182194;194;4329360;194
2019;8;22;1;K;1;2;3;11746550;677;12445069;677;3551091;194;3751511;194
2019;8;22;1;K;1;3;3;;;;;;;;
2019;8;22;1;K;1;4;3;1406830;194;1518692;194;2309687;388;2531429;388
2019;8;22;1;K;1;5;3;;;;;;;;
2019;8;22;1;K;1;6;3;;;;;;;;
2019;8;22;1;K;1;7;3;;;;;;;;
2019;8;22;1;K;1;8;3;;;;;;;;
2019;8;22;1;K;1;9;3;;;;;;;;
2019;8;22;1;K;2;1;3;15414332;387;15761227;387;15414332;387;15761918;387
2019;8;22;1;K;2;2;3;62981145;2240;65147529;2240;74178832;2563;76580053;2563
